TOLL_ROAD_ID	TOLL_ROAD_CODE	ROAD_AGENCY_ID	DATA_STATUS_ID	DATA_STATUS_CODE	ROAD_NAME	CREATED_ON	CREATED_BY_ID	UPDATED_ON	UPDATED_BY_ID	VERSION	PID	P_UUID	ALH_ID
1	ATCAS_ROAD.I580	23	281	ACTIVE	I-580	2016-02-22 00:00:00.000	9043	2026-02-02 12:56:25.292	1	1	SEED	0	1
2	"680"	23	281	ACTIVE	I-680 	2017-08-31 00:00:00.000	9043	2026-02-02 12:56:42.650	1	1	SEED	0	1
3	LAMTA_ROAD.I10	24	281	ACTIVE	I-10	2012-10-30 00:00:00.000	9043	2024-01-25 20:15:39.878	1	1	SEED	0	1
4	SANDAG_ROAD.I15SD	25	281	ACTIVE	I-15 SANDAG	2003-12-19 17:29:29.366	9068	2026-02-02 12:56:58.823	1	1	SEED	0	1
5	LAMTA_ROAD.I110	24	281	ACTIVE	I-110	2012-06-11 00:00:00.000	9043	2024-01-25 20:15:39.878	1	1	SEED	0	1
6	SJH_ROAD.SR73	21	281	ACTIVE	SR-73	1993-10-09 15:32:23.000	7	2024-01-25 20:15:39.878	1	1	SEED	0	1
7	SR91_ROAD.SR91	22	281	ACTIVE	SR-91	2003-12-19 17:30:26.223	9068	2024-01-25 20:15:39.878	1	1	SEED	0	1
8	SANDAG_ROAD.SR125	25	281	ACTIVE	SR-125	2007-12-26 14:25:20.000	9068	2024-01-25 20:15:39.878	1	2	SEED	0	1
9	FE_ROAD.SR133	20	281	ACTIVE	SR-133	1970-01-01 00:00:00.000	1	2024-01-25 20:15:39.878	1	1	SEED	0	1
10	ATCAS_ROAD.SR237	23	281	ACTIVE	SR-237	2012-06-11 00:00:00.000	9043	2024-01-25 20:15:39.878	1	1	SEED	0	1
11	FE_ROAD.SR241	20	281	ACTIVE	SR-241	1970-01-01 00:00:00.000	1	2024-01-25 20:15:39.878	1	1	SEED	0	1
12	FE_ROAD.SR261	20	281	ACTIVE	SR-261	1993-10-09 15:30:48.000	7	2024-01-25 20:15:39.878	1	1	SEED	0	1
13	Andrade	23	281	ACTIVE	I-680  	2010-10-01 00:00:00.000	9043	2026-02-02 12:56:42.682	1	1	SEED	0	1
14	Mission	23	281	ACTIVE	I-680    	2010-10-01 00:00:00.000	9043	2026-02-02 12:56:42.758	1	1	SEED	0	1
15	Calaveras	23	281	ACTIVE	I-680     	2010-10-01 00:00:00.000	9043	2026-02-02 12:56:42.793	1	1	SEED	0	1
16	SJH_ROAD.MD	21	281	ACTIVE	McDonalds	2003-12-19 17:31:46.126	9068	2024-01-25 20:15:39.878	1	1	SEED	0	1
17	Washington	23	281	ACTIVE	I-680   	2010-10-01 00:00:00.000	9043	2026-02-02 12:56:42.727	1	1	SEED	0	1
18	ATCAS_ROAD.AB	23	281	ACTIVE	Antioch Bridge	2003-12-19 17:24:06.864	9068	2024-01-25 20:15:39.878	1	1	SEED	0	1
19	ATCAS_ROAD.CB	23	281	ACTIVE	Carquinez Bridge	2003-12-19 17:25:10.057	9068	2024-01-25 20:15:39.878	1	1	SEED	0	1
20	ATCAS_ROAD.DB	23	281	ACTIVE	Dumbarton Bridge	2003-12-19 17:24:33.833	9068	2024-01-25 20:15:39.878	1	1	SEED	0	1
21	ROAD FOR PLAZA 9	23	281	ACTIVE	ROAD FOR PLAZA 9	2003-12-19 17:29:21.178	9068	2003-12-19 17:29:21.178	9068	0	MIGRATION	0	1
22	ATCAS_ROAD.GGB	23	281	ACTIVE	Golden Gate Bridge	2003-12-19 17:31:19.941	9068	2024-01-25 20:15:39.878	1	1	SEED	0	1
23	ATCAS_ROAD.BMB	23	281	ACTIVE	Benicia-Martinez Bridge	2003-12-19 17:28:48.187	9068	2024-01-25 20:15:39.878	1	1	SEED	0	1
24	ATCAS_ROAD.SMHB	23	281	ACTIVE	San Mateo-Hayward Bridge	2003-12-19 17:24:32.429	9068	2024-01-25 20:15:39.878	1	1	SEED	0	1
25	ATCAS_ROAD.RSRB	23	281	ACTIVE	Richmond-San Rafael Bridge	2003-12-19 17:24:28.834	9068	2024-01-25 20:15:39.878	1	1	SEED	0	1
26	ATCAS_ROAD.SFIA	23	281	ACTIVE	San Francisco Airport Parking	2007-10-25 00:00:00.000	9043	2026-02-02 12:55:10.067	1	1	SEED	0	1
27	ATCAS_ROAD.SFOBB	23	281	ACTIVE	San Francisco-Oakland Bay Bridge	2003-12-19 17:24:29.681	9068	2024-01-25 20:15:39.878	1	1	SEED	0	1
28	MIGRATION ROAD 0	28	281	ACTIVE	MIGRATION ROAD 0	2019-11-20 11:07:05.669	1	2019-11-20 11:07:05.669	1	0	MIGRATION	0	1
29	I-880	37	281	ACTIVE	I-880	2025-03-05 18:48:50.312	1	2026-02-02 12:56:25.197	1	1	SEED	0	1
30	I-15 RCTC	37	281	ACTIVE	I-15 RCTC	2025-03-05 18:48:50.312	1	2026-02-02 12:55:55.801	1	1	SEED	0	1
31	San Diego Bridge	25	281	ACTIVE	San Diego Bridge	2025-03-05 18:48:50.312	1	2026-02-02 12:56:58.903	1	1	SEED	0	1
32	NTTA_ROAD.NTTA	67	281	ACTIVE	NTTA Toll Road	2025-03-05 18:48:50.312	1	2025-03-05 18:48:50.312	1	0	SEED	0	1
33	San Francisco International Airport	23	281	ACTIVE	San Francisco International Airport	2025-03-05 18:48:50.312	1	2026-02-02 12:55:10.031	1	1	SEED	0	1
34	I-10	62	281	ACTIVE	I-10	2025-03-05 18:48:50.312	1	2026-02-02 12:56:58.737	1	1	SEED	0	1
35	"580"	23	281	ACTIVE	"580"	2025-03-05 18:48:50.312	1	2026-02-02 12:56:25.327	1	1	SEED	0	1
36	I-15	25	281	ACTIVE	I-15	2025-03-05 18:48:50.312	1	2026-02-02 12:56:58.862	1	1	SEED	0	1
37	ATCAS_ROAD.RB	23	281	ACTIVE	Richmond Bridge	2025-05-28 19:29:19.996	1	2025-05-28 19:29:19.996	1	0	SEED	0	1
38	ATCAS_ROAD.I80	23	281	ACTIVE	I-80	2025-12-18 18:15:55.118	1	2025-12-18 18:15:55.118	1	0	SEED	0	1
102	RCTC_ROAD.I15SRCTC	37	281	ACTIVE	I-15S RCTC	2019-01-07 18:35:27.000	9043	2026-02-02 12:55:55.770	1	1	SEED	0	1
103	ATCAS_ROAD.I680	23	281	ACTIVE	I-680	2019-11-20 18:35:26.992	7	2024-01-25 20:15:39.878	1	1	SEED	0	1
104	RCTC_ROAD.I15NRCTC	37	281	ACTIVE	I-15N RCTC	2019-11-20 18:35:26.985	7	2026-02-02 12:55:55.734	1	1	SEED	0	1
111	ATCAS_ROAD.I880	23	281	ACTIVE	I-880	2019-11-20 18:35:26.943	7	2026-02-02 12:55:55.704	1	1	SEED	0	1
1025	ATCAS_ROAD.SR85	23	281	ACTIVE	SR-85	2021-09-26 14:17:16.301	9043	2024-01-25 20:15:39.878	1	1	SEED	0	1
1026	ATCAS_ROAD.US101	23	281	ACTIVE	US-101	2021-09-26 14:02:04.633	9043	2024-01-25 20:15:39.878	1	1	SEED	0	1
7962	ATCAS_ROAD.SM101	23	281	ACTIVE	SM-101	2022-02-17 14:18:11.000	9043	2024-01-25 20:15:39.878	1	1	SEED	0	1
121894	SBCTA_ROAD.I10	62	281	ACTIVE	I-10 SBCTA	2022-11-28 13:12:00.241	9043	2026-02-02 12:56:58.697	1	1	SEED	0	1
134908	Benecia-Martinez Bridge	23	281	ACTIVE	Benecia-Martinez Bridge	2023-05-30 20:57:53.351	9068	2023-05-30 20:57:53.351	9043	0	MIGRATION	0	1
134909	OCTA_ROAD.I405	64	281	ACTIVE	I-405	2023-11-20 18:38:01.659	1	2024-01-25 20:15:39.878	1	1	SEED	0	1
